hangye1|staff_num_range|project|item_uuid|icon|province|city|job_num|opentime|detail_url|gw_link
金融||瑞泽咨询|72a63b61f465555aaace7e14a5af45ae|https://img1.qimingpian.cn/uploadImg/202111/61808a83d9711.jpeg|上海市|上海市|0|2018-11-30|https://profile.qmplink.com/ryzepartners|
消费品制造||甜蜜说|df10d7e89b985e8d99c96a4977b44b9d|https://img1.qimingpian.cn/uploadImg/202305/646b034bf38e0.png|福建省|厦门市|0|2022-07-26|https://profile.qmplink.com/tianmishuo|
医药医疗||妙灵生物|38c88cfcabbb521eae544338c9b8d183|https://img1.qimingpian.cn/uploadImg/202305/646ae058ac084.png|上海市|上海市|0|2020-02-14|https://profile.qmplink.com/qimingpian11|
医药医疗||文韬药业|52ca87f229845cbdaf762ef1514fa545|https://img1.qimingpian.cn/uploadImg/202305/646591b029fc2.jpeg|山东省|菏泽市|0|2021-12-29|https://profile.qmplink.com/wentaoyaoye|
企业软件|0～20人|工奇数智|fba820e0d3b4599a8fe27c8ec92407a4|https://img1.qimingpian.cn/uploadImg/202305/64661b125105b.jpeg|湖北省|武汉市|0|2023-03-20|https://profile.qmplink.com/phmcloud|www.phmcloud.com
||东合九日|57e26c98bc2e5e81bb16a5ad8dbc3486|https://img1.qimingpian.cn/uploadImg/202305/645b330e15341.jpeg|广东省|广州市|0|2022-08-08|https://profile.qmplink.com/pelowone|
||鲸赢|1c13a77b2ac0514f989cbf3934c7b003|https://img1.qimingpian.cn/uploadImg/202305/6458534fbd612.png|浙江省|杭州市|0|2019-04-02|https://profile.qmplink.com/jingying|
企业软件||千万项|f223bb6b3bd45b4ca68368c93aefb8f3|https://img1.qimingpian.cn/uploadImg/202108/610b47d8db19b.jpeg|上海市|上海市|1|2019-04-17|https://profile.qmplink.com/ylsaas|http://www.ylsaas.com.cn
医药医疗||未来医疗|19484378aec85ce1b28d5e939f432afe|https://img1.qimingpian.cn/product/upload/59f8412647c9e.png|山东省|青岛市|0|2014-06-03|https://profile.qmplink.com/qimingpian111|http://www.yirdoc.cn/
医药医疗||汇敏源|50339b5d669a516d80c5e665db9dd5b2|https://img1.qimingpian.cn/uploadImg/201910/5dba93664d7a4.png|辽宁省|沈阳市|0|2018-03-16|https://profile.qmplink.com/huiminyuan|http://www.huiallergy.com
医药医疗||文韬药物|aea4e04840df5b56b71dfbbf5f428d9a|https://img1.qimingpian.cn/product/upload/5b8e58aa642ef.png|北京市|北京市|0|2016-09-01|https://profile.qmplink.com/qimingpian1|
人工智能||新视智科|b94b8b1debcb5fd99bb0525820117445|https://img1.qimingpian.cn/uploadImg/202006/5ed9a0a071243.png|广东省|深圳市|0|2019-04-29|https://profile.qmplink.com/zvit|http://www.zvit.com.cn/
汽车制造|0～20人|磐易科技PanYauTo|0d955d72790358a993fd9e8bc0b1d4f8|https://img1.qimingpian.cn/uploadImg/202305/646451a9d9afd.jpg|上海市|上海市|0|2022-01-30|https://profile.qmplink.com/PanYauTo|
人工智能||G42|a730aec238d55c0e9962232a9810914d|https://img1.qimingpian.cn/uploadImg/202211/63808d4c03ee7.png|阿联酋||0|2018-01-01|https://profile.qmplink.com/g42|https://www.g42.ai/
企业软件|21~99人|少刻科技|8dea1a1207e85c9388c64a111fad97c0|https://img1.qimingpian.cn/uploadImg/202305/645c49e6c5c29.jpeg|浙江省|杭州市|0|2022|https://profile.qmplink.com/gaippt|https://www.gaippt.com
金融||金子元|90fe99cead3a50478ab152538c2a0ee7|https://img1.qimingpian.cn/uploadImg/202007/5f125b68a966e.png|山东省|威海市|0|2015|https://profile.qmplink.com/jinziyuan|
||润沐资本|78d701f27ed555c89b2fbba6a98f95be|https://img1.qimingpian.cn/uploadImg/202209/631fe095cc90a.png|北京市|北京|0|2022|https://profile.qmplink.com/runmucapital|
酒店餐饮||酷师傅|d1f5546a87585f8db399e27425b3891f|https://img1.qimingpian.cn/uploadImg/202303/640105b9686ba.jpeg|江苏省|南京市|0|2022-12-23|https://profile.qmplink.com/coolMaster|
装备制造||兰洋科技|0fd0808c10ed582cb557488ec9ff7d9d|https://img1.qimingpian.cn/uploadImg/202109/6146d6f250876.png|浙江省|宁波市|0|2019-09-29|https://profile.qmplink.com/blueocean|http://www.blueocean-china.net/
科学研究和技术服务||净拓生物|6b95475ef4a2587eaeda0e1770a457e0|https://img1.qimingpian.cn/uploadImg/202012/5fcdf07258d93.png|广东省|深圳市|0|2019-10-14|https://profile.qmplink.com/Gnotobio|
